Scheme Name	Net Asset Value
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.7085
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3708
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.1188
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1289.2921
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3501.1549
Invesco India Corporate Bond Fund - Direct Plan - Growth	3500.0373
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1252.7245
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1176.6659
Invesco India Corporate Bond Fund - Regular Plan - Annual IDCW (Payout / Reinvestment)	2013.5499
Invesco India Corporate Bond Fund - Regular Plan - Discretionary IDCW (Payout / Reinvestment)	3425.0077
Invesco India Corporate Bond Fund - Regular Plan - Growth	3260.3032
Invesco India Corporate Bond Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1868.6969
Invesco India Corporate Bond Fund - Regular Plan - Quarterly IDCW (Payout / Reinvestment)	1170.4927
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	4054.7864
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1073.0321
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3877.6057
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1263.1746
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.3491
Mirae Asset Corporate Bond Fund Direct IDCW	13.3459
Mirae Asset Corporate Bond Fund Regular Growth	13.0741
Mirae Asset Corporate Bond Fund Regular IDCW	13.0741
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0378
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0389
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.5109
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7630
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.2820
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0674
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	46.2135
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	64.7289
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	43.9777
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	61.5767
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.7275
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6305
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.1162
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.0657
PGIM India Corporate Bond Fund - Annual Dividend	10.7502
PGIM India Corporate Bond Fund - Direct Plan - Annual Dividend	16.5641
PGIM India Corporate Bond Fund - Direct Plan - Growth	49.4217
PGIM India Corporate Bond Fund - Direct Plan - Monthly Dividend	14.9236
PGIM India Corporate Bond Fund - Direct Plan - Quarterly Dividend	13.1871
PGIM India Corporate Bond Fund - Growth	44.2195
PGIM India Corporate Bond Fund - Monthly Dividend	12.8028
PGIM India Corporate Bond Fund - Premium Plus Plan - Growth	21.588
PGIM India Corporate Bond Fund - Quarterly Dividend	11.6125
PGIM India Premier Bond Fund - Annual Bonus	24.9334
PGIM India Premier Bond Fund - Bonus	15.2260
PGIM India Premier Bond Fund - Direct Plan - Half-Yearly Bonus	13.2164
